# (c) 2013-2016, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://sweet.ua.pt/tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://sweet.ua.pt/tos/twin_gaps.html
#
# Count limit --- 1e16
#   g  is the gap between twin prime pairs
# F(g) is the least prime of the first twin prime
#      pair of the first occurrence of a gap of g
# T(g) is the number of times a gap of g occurs
#      with the last prime of the second prime pair
#      of a gap smaller than 1e16
# An * marks a record-holder; g is a record-holder
#      if F(u) > F(g) for all u > g; F(g) is a
#      record-holder if F(u) < F(g) for all u < g
#
# Last update made on August 5, 2013

    g             F(g)           T(g)
 2670          75672341    5432729967
 2676         858064421*   2431481476
 2682          74240909    3788201492
 2688         128589089    5753937214
 2694         661486487    1563370286
 2700         322947017    6776705077
 2706         526069151    2339407958
 2712         166403819    3384652988
 2718         300039461    4489141190
 2724         481919237    1627312554
 2730         269083817   10873605403
 2736         448604831    1729843310
 2742         624845957    3986003687
 2748         547636679    3373478118
 2754         556249037    1952623248
 2760         231210977    6432121935
 2766         256149461    1453246262
 2772         372191849    6647723121
 2778         354888431    2862284515
 2784         995688257*   2259033094
 2790         811326431    4989058510
 2796         913585511    1650912231
 2802         485721209    3685761601
 2808         157819061    3639978084
 2814         750903497    2921879973
 2820         197595479    4624022068
 2826         759979931    1877616230
 2832*         32822369    3080174342
 2838         905565599    3742733864
 2844         258543707    1863455069
 2850         587631179    4950871298
 2856         245032901    2558647478
 2862         452182559    3408279891
 2868*         96894041    3614719082
 2874        1708829387*   1269870245
 2880         481855109    4459853746
 2886         692821091    2394070510
 2892         275661977    2743437172
 2898         216084749    4860262041
 2904         983709827    1593753231
 2910         236829209    5645218188
 2916         290719991    1319758746
 2922         845788049    2772045839
 2928         905215151    4114907006
 2934        1136664467    1232937977
 2940         661240469    6731075793
 2946         605784911    1464853253
 2952         479541989    3411504770
 2958         288160571    3025982727
 2964         609670547    1629418527
 2970         270981407    6086134729
 2976         335448851    1242011787
 2982         458463659    3960721135
 2988         784398401    2729156368
 2994         203604857    1861028491
 3000         248577221    3627089596
 3006         421519001    1170417042
 3012*        136283429    3507052552
 3018        1149446069    2598407010
 3024         878993777    1987705357
 3030         278626421    3346310897
 3036        1039144781    2287387967
 3042         989763779    2777886414
 3048        1301415149    2260704032
 3054         616499837    1434748825
 3060         916129427    4237002959
 3066        1258143011    2055551824
 3072         292893869    2205811022
 3078         947177969    3631756280
 3084        2319423437*   1103231349
 3090         293115101    3199199111
 3096         394499561    1717955692
 3102*        234966929    2889670748
 3108        1011297269    3575203873
 3114         851196887    1106126113
 3120         301096799    4910615708
 3126        2172593021    1307188784
 3132         723941597    2155271681
 3138         631024991    2617337064
 3144        1073432447    1258137194
 3150         959875247    4865570558
 3156        1621079891    1047149472
 3162         720336077    3233982258
 3168        1519902071    2428586642
 3174         715731647    1176847564
 3180*        248641037    4134871969
 3186         479801561     973736494
 3192         851228309    4146666264
 3198        1184268299    2589552043
 3204         703240427    1239659714
 3210        1257798887    3198981021
 3216        1383726581     943825273
 3222        1354613747    2906532107
 3228         894632819    2065107319
 3234         645023747    1905972167
 3240        1487965049    2611449374
 3246        1327502651    1240250575
 3252         724433999    1917363496
 3258        1526872619    2115124028
 3264        2226889667    1401760184
 3270         904459901    2861773229
 3276         952090121    2001761399
 3282        1825389827    1719997493
 3288        1261207469    2483918730
 3294        2093093207     862444810
 3300         714494357    3922259454
 3306        1280107061    1363597232
 3312        1429410209    1804411066
 3318         881930549    2815671774
 3324         811108007     934268057
 3330         292671257    4061201568
 3336        1598837291     807602351
 3342        1075052609    1950514876
 3348        1076920991    2296673810
 3354        2241898247     998752527
 3360         712605737    4247175395
 3366        2508630581*   1177238063
 3372         799466417    2069023719
 3378         595117151    1697198306
 3384        1999821557     841664409
 3390         610842059    3568220036
 3396        1981021841     752698814
 3402         494006339    2880894032
 3408        1029992189    1998329788
 3414        2771478287*    991124327
 3420        2062442489    2606798218
 3426        2166042551     740792923
 3432         503816837    3242953548
 3438         947505191    1486679174
 3444        5855952227*   1231454537
 3450        1250480129    2328880525
 3456        2793426371    1289122620
 3462        2313608987    1386015171
 3468        1392316379    1624344497
 3474         953025737    1097559929
 3480*        255949949    2336964548
 3486        1637472311    1328932875
 3492        2914203497    1382005334
 3498         841644371    2699331486
 3504        3193324397     740879116
 3510        1657417271    2441092385
 3516        4833995741     889534347
 3522        1061748437    1505914633
 3528        2348064281    2280123546
